Rank,NAME,,Country,Qualification,Semi-Final,Modified SF,Final,After Qualifications,After Semis,Progressed?,,,,,,,,,,,,,,,,
1,ELISKA,ADAMOVSKA,CZE,9.35,TOP,TOP,36,6,3,TRUE,,,,,,,,,,,,,,,,
2,NATALIA,GROSSMAN,USA,1,TOP,TOP,35+,1,1,TRUE,,,,,,,,,,,,,,,,
3,VITA,LUKAN,SLO,13.1,TOP,TOP,29,12,4,TRUE,,,,,,,,,,,,,,,,
4,ASHIMA,SHIRAISHI,USA,13.98,TOP,TOP,27+,15,5,TRUE,,,,,,,,,,,,,,,,
5,RYU,NAKAGAWA,JPN,11.53,36+,36.5,27+,10,8,TRUE,,,,,,,,,,,,,,,,
6,LUCKA,RAKOVEC,SLO,2.65,TOP,TOP,26+,2,2,TRUE,,,,,,,,,,,,,,,,
7,LANA,SKUSEK,SLO,7.55,38,38,24+,5,7,TRUE,,,,,,,,,,,,,,,,
8,ALEKSANDRA,TOTKOVA,BUL,14.73,41,41,22+,16,6,TRUE,,,,,,,,,,,,,,,,
9,NATSUKI,TANII,JPN,14.97,36+,36.5,,17,8,FALSE,,,,,,,,,,,,,,,,
10,CAMILLA,MORONI,ITA,20.07,31+,31.5,,22,10,FALSE,,,,,,,,,,,,,,,,
11,TJASA,SLEMENSEK,SLO,23.98,31,31,,25,11,FALSE,,,,,,,,,,,,,,,,
12,MOLLY,THOMPSON-SMITH,GBR,3.5,30,30,,3,12,FALSE,,,,,,,,,,,,,,,,
13,EVA MARIA,HAMMELMÜLLER,AUT,10.9,30,30,,8,12,FALSE,,,,,,,,,,,,,,,,
14,CAMILLE,POUGET,FRA,13.3,29,29,,13,14,FALSE,,,,,,,,,,,,,,,,
15,MARTINA,DEMMEL,GER,16.74,29,29,,18,14,FALSE,,,,,,,,,,,,,,,,
16,HANNAH,MEUL,GER,19.74,29,29,,20,14,FALSE,,,,,,,,,,,,,,,,
17,SALOMÉ,ROMAIN,FRA,22.06,29,29,,23,14,FALSE,,,,,,,,,,,,,,,,
18,JULIA,FISER,AUT,9.75,27+,27.5,,7,18,FALSE,,,,,,,,,,,,,,,,
19,NINA,ARTHAUD,FRA,10.9,27+,27.5,,8,18,FALSE,,,,,,,,,,,,,,,,
20,ORIANE,BERTONE,FRA,19.58,27+,27.5,,19,18,FALSE,,,,,,,,,,,,,,,,
21,FANNY,GIBERT,FRA,23.36,27+,27.5,,24,18,FALSE,,,,,,,,,,,,,,,,
22,FRANZISKA,STERRER,AUT,24.59,27+,27.5,,26,18,FALSE,,,,,,,,,,,,,,,,
23,GIORGIA,TESIO,ITA,12.89,26+,26.5,,11,23,FALSE,,,,,,,,,,,,,,,,
24,MATTEA,PÖTZI,AUT,20,26+,26.5,,21,23,FALSE,,,,,,,,,,,,,,,,
25,MOMOKO,ABE,JPN,7.25,21+,21.5,,4,25,FALSE,,,,,,,,,,,,,,,,
26,LUCIJA,TARKUS,SLO,13.67,20+,20.5,,14,26,FALSE,,,,,,,,,,,,,,,,
27,KÄTHE,ATKINS,GER,25.92,,,,27,,FALSE,,,,,,,,,,,,,,,,
